Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS03635-MONOMER	EWS79_RS03635	hypothetical protein	
EWS79_RS01675-MONOMER	EWS79_RS01675	hypothetical protein	CCI-EXTRACELLULAR-GN
EWS79_RS07470-MONOMER	EWS79_RS07470	hypothetical protein	
EWS79_RS01160-MONOMER	EWS79_RS01160	hypothetical protein	
EWS79_RS02740-MONOMER	EWS79_RS02740	hypothetical protein	
EWS79_RS05555-MONOMER	EWS79_RS05555	hypothetical protein	
EWS79_RS02760-MONOMER	EWS79_RS02760	hypothetical protein	
EWS79_RS01665-MONOMER	EWS79_RS01665	hypothetical protein	
EWS79_RS07775-MONOMER	EWS79_RS07775	hypothetical protein	
EWS79_RS06835-MONOMER	EWS79_RS06835	hypothetical protein	
EWS79_RS03400-MONOMER	EWS79_RS03400	hypothetical protein	
EWS79_RS07615-MONOMER	EWS79_RS07615	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS00275-MONOMER	EWS79_RS00275	hypothetical protein	
EWS79_RS08865-MONOMER	EWS79_RS08865	hypothetical protein	
EWS79_RS03510-MONOMER	EWS79_RS03510	hypothetical protein	
EWS79_RS08740-MONOMER	EWS79_RS08740	hypothetical protein	
EWS79_RS03495-MONOMER	EWS79_RS03495	hypothetical protein	
EWS79_RS04135-MONOMER	EWS79_RS04135	hypothetical protein	
EWS79_RS04490-MONOMER	EWS79_RS04490	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS06715-MONOMER	EWS79_RS06715	hypothetical protein	
EWS79_RS02075-MONOMER	EWS79_RS02075	hypothetical protein	
EWS79_RS02940-MONOMER	EWS79_RS02940	hypothetical protein	
EWS79_RS01910-MONOMER	EWS79_RS01910	hypothetical protein	
EWS79_RS03475-MONOMER	EWS79_RS03475	hypothetical protein	
EWS79_RS06170-MONOMER	EWS79_RS06170	hypothetical protein	
EWS79_RS07085-MONOMER	EWS79_RS07085	hypothetical protein	
EWS79_RS08310-MONOMER	EWS79_RS08310	hypothetical protein	
EWS79_RS08800-MONOMER	EWS79_RS08800	hypothetical protein	
EWS79_RS07925-MONOMER	EWS79_RS07925	hypothetical protein	
EWS79_RS07845-MONOMER	EWS79_RS07845	hypothetical protein	
EWS79_RS02190-MONOMER	EWS79_RS02190	hypothetical protein	
EWS79_RS01150-MONOMER	EWS79_RS01150	hypothetical protein	
EWS79_RS03645-MONOMER	EWS79_RS03645	hypothetical protein	
EWS79_RS06455-MONOMER	EWS79_RS06455	hypothetical protein	
EWS79_RS06545-MONOMER	EWS79_RS06545	hypothetical protein	
EWS79_RS02725-MONOMER	EWS79_RS02725	hypothetical protein	
EWS79_RS00505-MONOMER	EWS79_RS00505	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS04960-MONOMER	EWS79_RS04960	hypothetical protein	
EWS79_RS06450-MONOMER	EWS79_RS06450	hypothetical protein	
EWS79_RS01660-MONOMER	EWS79_RS01660	hypothetical protein	
EWS79_RS02160-MONOMER	EWS79_RS02160	hypothetical protein	
EWS79_RS03865-MONOMER	EWS79_RS03865	hypothetical protein	
EWS79_RS04085-MONOMER	EWS79_RS04085	hypothetical protein	
EWS79_RS02925-MONOMER	EWS79_RS02925	hypothetical protein	
EWS79_RS07700-MONOMER	EWS79_RS07700	hypothetical protein	
EWS79_RS04585-MONOMER	EWS79_RS04585	hypothetical protein	
EWS79_RS05470-MONOMER	EWS79_RS05470	hypothetical protein	
EWS79_RS07305-MONOMER	EWS79_RS07305	hypothetical protein	
EWS79_RS06205-MONOMER	EWS79_RS06205	hypothetical protein	
EWS79_RS05810-MONOMER	EWS79_RS05810	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS00675-MONOMER	EWS79_RS00675	hypothetical protein	
EWS79_RS01510-MONOMER	EWS79_RS01510	hypothetical protein	
EWS79_RS08040-MONOMER	EWS79_RS08040	hypothetical protein	
EWS79_RS04535-MONOMER	EWS79_RS04535	hypothetical protein	
EWS79_RS01695-MONOMER	EWS79_RS01695	hypothetical protein	
EWS79_RS00240-MONOMER	EWS79_RS00240	hypothetical protein	
EWS79_RS05030-MONOMER	EWS79_RS05030	hypothetical protein	
EWS79_RS00570-MONOMER	EWS79_RS00570	hypothetical protein	
EWS79_RS03610-MONOMER	EWS79_RS03610	hypothetical protein	
EWS79_RS01865-MONOMER	EWS79_RS01865	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS05390-MONOMER	EWS79_RS05390	hypothetical protein	
EWS79_RS06785-MONOMER	EWS79_RS06785	hypothetical protein	
EWS79_RS08590-MONOMER	EWS79_RS08590	hypothetical protein	
EWS79_RS00100-MONOMER	EWS79_RS00100	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS00415-MONOMER	EWS79_RS00415	hypothetical protein	
EWS79_RS00390-MONOMER	EWS79_RS00390	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS07590-MONOMER	EWS79_RS07590	hypothetical protein	
EWS79_RS02795-MONOMER	EWS79_RS02795	hypothetical protein	
EWS79_RS06200-MONOMER	EWS79_RS06200	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS07840-MONOMER	EWS79_RS07840	hypothetical protein	
EWS79_RS00380-MONOMER	EWS79_RS00380	hypothetical protein	
EWS79_RS00370-MONOMER	EWS79_RS00370	hypothetical protein	
EWS79_RS01645-MONOMER	EWS79_RS01645	hypothetical protein	
EWS79_RS06420-MONOMER	EWS79_RS06420	hypothetical protein	
EWS79_RS01625-MONOMER	EWS79_RS01625	hypothetical protein	
EWS79_RS06055-MONOMER	EWS79_RS06055	hypothetical protein	
EWS79_RS08980-MONOMER	EWS79_RS08980	hypothetical protein	
EWS79_RS00360-MONOMER	EWS79_RS00360	hypothetical protein	
EWS79_RS06115-MONOMER	EWS79_RS06115	hypothetical protein	
EWS79_RS01340-MONOMER	EWS79_RS01340	hypothetical protein	
EWS79_RS02150-MONOMER	EWS79_RS02150	hypothetical protein	
EWS79_RS00365-MONOMER	EWS79_RS00365	hypothetical protein	
EWS79_RS01525-MONOMER	EWS79_RS01525	hypothetical protein	
EWS79_RS08005-MONOMER	EWS79_RS08005	hypothetical protein	
EWS79_RS01635-MONOMER	EWS79_RS01635	hypothetical protein	
EWS79_RS00990-MONOMER	EWS79_RS00990	hypothetical protein	
EWS79_RS00250-MONOMER	EWS79_RS00250	hypothetical protein	
EWS79_RS04430-MONOMER	EWS79_RS04430	hypothetical protein	
EWS79_RS08285-MONOMER	EWS79_RS08285	hypothetical protein	
EWS79_RS08485-MONOMER	EWS79_RS08485	hypothetical protein	
EWS79_RS07480-MONOMER	EWS79_RS07480	hypothetical protein	
EWS79_RS02805-MONOMER	EWS79_RS02805	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS00830-MONOMER	EWS79_RS00830	hypothetical protein	
EWS79_RS01680-MONOMER	EWS79_RS01680	hypothetical protein	
EWS79_RS01650-MONOMER	EWS79_RS01650	hypothetical protein	
CPLX1W2W-2	EWS79_RS06700 // EWS79_RS06690	imidazole glycerol phosphate synthase	
EWS79_RS06690-MONOMER	EWS79_RS06690	imidazole glycerol phosphate synthase subunit HisF	
EWS79_RS06700-MONOMER	EWS79_RS06700	imidazole glycerol phosphate synthase subunit HisH	
EWS79_RS06705-MONOMER	EWS79_RS06705	imidazoleglycerol-phosphate dehydratase HisB	
EWS79_RS05890-MONOMER	EWS79_RS05890	IMP dehydrogenase	
EWS79_RS02385-MONOMER	EWS79_RS02385	indole-3-glycerol phosphate synthase TrpC	
EWS79_RS06720-MONOMER	EWS79_RS06720	inorganic diphosphatase	CCI-CYTOSOL-GN
EWS79_RS06260-MONOMER	EWS79_RS06260	inositol monophosphatase	CCI-PERI-BAC-GN
EWS79_RS01400-MONOMER	EWS79_RS01400	inositol monophosphatase	CCI-CYTOSOL-GN
EWS79_RS06770-MONOMER	EWS79_RS06770	inositol monophosphatase family protein	
EWS79_RS08535-MONOMER	EWS79_RS08535	insulinase family protein	
EWS79_RS06330-MONOMER	EWS79_RS06330	insulinase family protein	
EWS79_RS06325-MONOMER	EWS79_RS06325	insulinase family protein	
EWS79_RS04995-MONOMER	EWS79_RS04995	integration host factor subunit alpha	CCI-CYTOSOL-GN
EWS79_RS08065-MONOMER	EWS79_RS08065	integration host factor subunit beta	CCI-CYTOSOL-GN
EWS79_RS00980-MONOMER	EWS79_RS00980	iron ABC transporter permease	
EWS79_RS08275-MONOMER	EWS79_RS08275	iron ABC transporter permease	
EWS79_RS07935-MONOMER	EWS79_RS07935	iron-containing alcohol dehydrogenase	
EWS79_RS06225-MONOMER	EWS79_RS06225	iron-sulfur cluster assembly accessory protein	
EWS79_RS01830-MONOMER	EWS79_RS01830	iron-sulfur cluster assembly accessory protein	CCI-CYTOSOL-GN
EWS79_RS08210-MONOMER	EWS79_RS08210	iron-sulfur cluster assembly accessory protein	
EWS79_RS02610-MONOMER	EWS79_RS02610	iron-sulfur cluster assembly scaffold protein	
EWS79_RS01370-MONOMER	EWS79_RS01370	isoleucine--tRNA ligase	
EWS79_RS05145-MONOMER	EWS79_RS05145	isoprenyl transferase	
EWS79_RS04765-MONOMER	EWS79_RS04765	J domain-containing protein	
EWS79_RS06880-MONOMER	EWS79_RS06880	J domain-containing protein	
EWS79_RS08575-MONOMER	EWS79_RS08575	ketoacyl-ACP synthase III	CCI-CYTOSOL-GN
EWS79_RS05090-MONOMER	EWS79_RS05090	ketol-acid reductoisomerase	CCI-CYTOSOL-GN
EWS79_RS04440-MONOMER	EWS79_RS04440	KHG/KDPG aldolase	CCI-CYTOSOL-GN
EWS79_RS06820-MONOMER	EWS79_RS06820	KpsF/GutQ family sugar-phosphate isomerase	CCI-CYTOSOL-GN
EWS79_RS00595-MONOMER	EWS79_RS00595	L-aspartate oxidase	
EWS79_RS00805-MONOMER	EWS79_RS00805	L-serine ammonia-lyase	
EWS79_RS07120-MONOMER	EWS79_RS07120	L-threonine dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS05710-MONOMER	EWS79_RS05710	LacI family DNA-binding transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS00105-MONOMER	EWS79_RS00105	lactate utilization protein	
EWS79_RS03370-MONOMER	EWS79_RS03370	lactoylglutathione lyase	CCI-CYTOSOL-GN
EWS79_RS04660-MONOMER	EWS79_RS04660	large conductance mechanosensitive channel protein MscL	CCI-PM-BAC-NEG-GN
EWS79_RS04655-MONOMER	EWS79_RS04655	LemA family protein	
EWS79_RS06385-MONOMER	EWS79_RS06385	leucine--tRNA ligase	
EWS79_RS05835-MONOMER	EWS79_RS05835	leucyl aminopeptidase	
EWS79_RS03565-MONOMER	EWS79_RS03565	leucyl aminopeptidase family protein	
EWS79_RS04125-MONOMER	EWS79_RS04125	leucyl/phenylalanyl-tRNA--protein transferase	
EWS79_RS00975-MONOMER	EWS79_RS00975	lipopolysaccharide biosynthesis protein	
EWS79_RS05865-MONOMER	EWS79_RS05865	lipopolysaccharide biosynthesis protein	
EWS79_RS01960-MONOMER	EWS79_RS01960	lipoprotein-releasing ABC transporter permease subunit	
EWS79_RS05045-MONOMER	EWS79_RS05045	lipoyl synthase	
EWS79_RS05800-MONOMER	EWS79_RS05800	lipoyl(octanoyl) transferase LipB	
EWS79_RS07745-MONOMER	EWS79_RS07745	LL-diaminopimelate aminotransferase	CCI-CYTOSOL-GN
EWS79_RS07510-MONOMER	EWS79_RS07510	LOG family protein	
EWS79_RS00580-MONOMER	EWS79_RS00580	low molecular weight phosphotyrosine protein phosphatase	CCI-CYTOSOL-GN
EWS79_RS05995-MONOMER	EWS79_RS05995	low specificity L-threonine aldolase	CCI-CYTOSOL-GN
EWS79_RS04025-MONOMER	EWS79_RS04025	LPS biosynthesis protein	
EWS79_RS01185-MONOMER	EWS79_RS01185	LPS export ABC transporter ATP-binding protein	CCI-CYTOSOL-GN
EWS79_RS01195-MONOMER	EWS79_RS01195	LPS export ABC transporter periplasmic protein LptC	
EWS79_RS06185-MONOMER	EWS79_RS06185	LPS export ABC transporter permease LptF	
EWS79_RS06190-MONOMER	EWS79_RS06190	LPS export ABC transporter permease LptG	CCI-PM-BAC-NEG-GN
EWS79_RS05840-MONOMER	EWS79_RS05840	LPS-assembly protein LptD	
EWS79_RS04935-MONOMER	EWS79_RS04935	Lrp/AsnC family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS00115-MONOMER	EWS79_RS00115	Lrp/AsnC family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS01950-MONOMER	EWS79_RS01950	Lrp/AsnC family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS01570-MONOMER	EWS79_RS01570	Lrp/AsnC family transcriptional regulator	
EWS79_RS06400-MONOMER	EWS79_RS06400	Lrp/AsnC family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS08700-MONOMER	EWS79_RS08700	LTA synthase family protein	
EWS79_RS05960-MONOMER	EWS79_RS05960	LysE family translocator	
EWS79_RS00205-MONOMER	EWS79_RS00205	LysE family translocator	
EWS79_RS06395-MONOMER	EWS79_RS06395	LysE family translocator	CCI-PM-BAC-NEG-GN
EWS79_RS06485-MONOMER	EWS79_RS06485	LysE family translocator	
EWS79_RS03945-MONOMER	EWS79_RS03945	lysine--tRNA ligase	
EWS79_RS02040-MONOMER	EWS79_RS02040	LysM peptidoglycan-binding domain-containing protein	
EWS79_RS08320-MONOMER	EWS79_RS08320	LysR family transcriptional regulator	
EWS79_RS02000-MONOMER	EWS79_RS02000	LysR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS07005-MONOMER	EWS79_RS07005	LysR family transcriptional regulator	
EWS79_RS07770-MONOMER	EWS79_RS07770	LysR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS05950-MONOMER	EWS79_RS05950	LysR family transcriptional regulator	
EWS79_RS05395-MONOMER	EWS79_RS05395	LysR family transcriptional regulator	
EWS79_RS00210-MONOMER	EWS79_RS00210	LysR family transcriptional regulator	
EWS79_RS03450-MONOMER	EWS79_RS03450	LysR family transcriptional regulator	
EWS79_RS08030-MONOMER	EWS79_RS08030	LysR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS02980-MONOMER	EWS79_RS02980	LysR family transcriptional regulator	
EWS79_RS03420-MONOMER	EWS79_RS03420	LysR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS04845-MONOMER	EWS79_RS04845	lytic murein transglycosylase	
EWS79_RS06550-MONOMER	EWS79_RS06550	lytic transglycosylase	
EWS79_RS03175-MONOMER	EWS79_RS03175	lytic transglycosylase domain-containing protein	
EWS79_RS05300-MONOMER	EWS79_RS05300	lytic transglycosylase domain-containing protein	
EWS79_RS07960-MONOMER	EWS79_RS07960	M1 family peptidase	
EWS79_RS03190-MONOMER	EWS79_RS03190	M13 family peptidase	
EWS79_RS00600-MONOMER	EWS79_RS00600	M20/M25/M40 family metallo-hydrolase	
EWS79_RS04390-MONOMER	EWS79_RS04390	M23 family metallopeptidase	
EWS79_RS00925-MONOMER	EWS79_RS00925	M23 family metallopeptidase	
EWS79_RS06230-MONOMER	EWS79_RS06230	M23 family metallopeptidase	
EWS79_RS00050-MONOMER	EWS79_RS00050	M48 family peptidase	
EWS79_RS07115-MONOMER	EWS79_RS07115	M61 family peptidase	
EWS79_RS03330-MONOMER	EWS79_RS03330	M67 family peptidase	
EWS79_RS03410-MONOMER	EWS79_RS03410	magnesium transporter	CCI-PM-BAC-NEG-GN
EWS79_RS05640-MONOMER	EWS79_RS05640	mandelate racemase/muconate lactonizing enzyme family protein	CCI-CYTOSOL-GN
EWS79_RS06460-MONOMER	EWS79_RS06460	mannitol dehydrogenase family protein	CCI-CYTOSOL-GN
EWS79_RS05525-MONOMER	EWS79_RS05525	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	
EWS79_RS03755-MONOMER	EWS79_RS03755	mannosyltransferase	
EWS79_RS01755-MONOMER	EWS79_RS01755	MarC family protein	CCI-PM-BAC-NEG-GN
EWS79_RS04180-MONOMER	EWS79_RS04180	MarR family transcriptional regulator	
EWS79_RS00225-MONOMER	EWS79_RS00225	MarR family transcriptional regulator	
EWS79_RS00915-MONOMER	EWS79_RS00915	MATE family efflux transporter	
EWS79_RS04880-MONOMER	EWS79_RS04880	MBL fold metallo-hydrolase	
EWS79_RS03430-MONOMER	EWS79_RS03430	MBL fold metallo-hydrolase	CCI-CYTOSOL-GN
EWS79_RS01905-MONOMER	EWS79_RS01905	MBOAT family protein	
EWS79_RS04540-MONOMER	EWS79_RS04540	MCE family protein	
EWS79_RS05935-MONOMER	EWS79_RS05935	mechanosensitive ion channel	
EWS79_RS04435-MONOMER	EWS79_RS04435	mechanosensitive ion channel family protein	
EWS79_RS07985-MONOMER	EWS79_RS07985	mechanosensitive ion channel family protein	CCI-PM-BAC-NEG-GN
EWS79_RS06530-MONOMER	EWS79_RS06530	membrane protein	CCI-PM-BAC-NEG-GN
EWS79_RS06640-MONOMER	EWS79_RS06640	membrane protein	
EWS79_RS01860-MONOMER	EWS79_RS01860	membrane protein	CCI-PM-BAC-NEG-GN
EWS79_RS07255-MONOMER	EWS79_RS07255	membrane protein insertase YidC	
EWS79_RS07250-MONOMER	EWS79_RS07250	membrane protein insertion efficiency factor YidD	
EWS79_RS03925-MONOMER	EWS79_RS03925	MerC domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS04990-MONOMER	EWS79_RS04990	MerR family transcriptional regulator	
EWS79_RS00870-MONOMER	EWS79_RS00870	MerR family transcriptional regulator	
EWS79_RS00540-MONOMER	EWS79_RS00540	metallophosphoesterase	
EWS79_RS01445-MONOMER	EWS79_RS01445	metalloprotease TldD	
EWS79_RS07825-MONOMER	EWS79_RS07825	metalloregulator ArsR/SmtB family transcription factor	CCI-CYTOSOL-GN
EWS79_RS01175-MONOMER	EWS79_RS01175	methionine adenosyltransferase	CCI-CYTOSOL-GN
EWS79_RS00955-MONOMER	EWS79_RS00955	methionine biosynthesis protein MetW	
EWS79_RS07810-MONOMER	EWS79_RS07810	methionine synthase	
EWS79_RS04870-MONOMER	EWS79_RS04870	methionine--tRNA ligase	
EWS79_RS03585-MONOMER	EWS79_RS03585	methionyl-tRNA formyltransferase	
EWS79_RS00865-MONOMER	EWS79_RS00865	methyl-accepting chemotaxis protein	
EWS79_RS00350-MONOMER	EWS79_RS00350	methyl-accepting chemotaxis protein	CCI-PM-BAC-NEG-GN
EWS79_RS09030-MONOMER	EWS79_RS09030	methylated-DNA--[protein]-cysteine S-methyltransferase	
EWS79_RS07820-MONOMER	EWS79_RS07820	methylenetetrahydrofolate reductase [NAD(P)H]	CCI-CYTOSOL-GN
EWS79_RS03050-MONOMER	EWS79_RS03050	methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO	
EWS79_RS00085-MONOMER	EWS79_RS00085	methyltransferase domain-containing protein	
EWS79_RS03425-MONOMER	EWS79_RS03425	methyltransferase type 12	
EWS79_RS06475-MONOMER	EWS79_RS06475	MFS transporter	
EWS79_RS02495-MONOMER	EWS79_RS02495	MFS transporter	
EWS79_RS00215-MONOMER	EWS79_RS00215	MFS transporter	
EWS79_RS02560-MONOMER	EWS79_RS02560	MFS transporter	
EWS79_RS04460-MONOMER	EWS79_RS04460	MFS transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04945-MONOMER	EWS79_RS04945	MFS transporter	
EWS79_RS08985-MONOMER	EWS79_RS08985	MFS transporter	
EWS79_RS05965-MONOMER	EWS79_RS05965	MFS transporter	
EWS79_RS05355-MONOMER	EWS79_RS05355	MFS transporter	
EWS79_RS05735-MONOMER	EWS79_RS05735	MFS transporter	
EWS79_RS06490-MONOMER	EWS79_RS06490	MFS transporter	
EWS79_RS01545-MONOMER	EWS79_RS01545	MFS transporter	CCI-PM-BAC-NEG-GN
EWS79_RS00400-MONOMER	EWS79_RS00400	MFS transporter	
EWS79_RS08315-MONOMER	EWS79_RS08315	MFS transporter	
EWS79_RS07015-MONOMER	EWS79_RS07015	MFS transporter	
EWS79_RS02065-MONOMER	EWS79_RS02065	MgtC/SapB family protein	
EWS79_RS02750-MONOMER	EWS79_RS02750	MinD/ParA family protein	CCI-PM-BAC-NEG-GN
EWS79_RS04550-MONOMER	EWS79_RS04550	MlaE family lipid ABC transporter permease subunit	CCI-PM-BAC-NEG-GN
EWS79_RS08235-MONOMER	EWS79_RS08235	ModD protein	
EWS79_RS02910-MONOMER	EWS79_RS02910	molecular chaperone DnaJ	CCI-CYTOSOL-GN
EWS79_RS07565-MONOMER	EWS79_RS07565	molecular chaperone DnaJ	
EWS79_RS01420-MONOMER	EWS79_RS01420	molecular chaperone DnaJ	
EWS79_RS02905-MONOMER	EWS79_RS02905	molecular chaperone DnaK	
EWS79_RS04270-MONOMER	EWS79_RS04270	monofunctional biosynthetic peptidoglycan transglycosylase	
EWS79_RS07980-MONOMER	EWS79_RS07980	monooxygenase	
EWS79_RS03275-MONOMER	EWS79_RS03275	monooxygenase	
EWS79_RS07690-MONOMER	EWS79_RS07690	MotA/TolQ/ExbB proton channel family protein	CCI-PM-BAC-NEG-GN
EWS79_RS06280-MONOMER	EWS79_RS06280	MucR family transcriptional regulator	
EWS79_RS01725-MONOMER	EWS79_RS01725	multidrug ABC transporter permease	
EWS79_RS01220-MONOMER	EWS79_RS01220	multidrug efflux RND transporter permease subunit	CCI-PM-BAC-NEG-GN
EWS79_RS00440-MONOMER	EWS79_RS00440	multidrug efflux SMR transporter	
EWS79_RS03085-MONOMER	EWS79_RS03085	multidrug efflux SMR transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04500-MONOMER	EWS79_RS04500	multidrug transporter	
EWS79_RS07320-MONOMER	EWS79_RS07320	murein biosynthesis integral membrane protein MurJ	CCI-PM-BAC-NEG-GN
EWS79_RS00810-MONOMER	EWS79_RS00810	MurR/RpiR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS03555-MONOMER	EWS79_RS03555	N-acetyl-gamma-glutamyl-phosphate reductase	
EWS79_RS04280-MONOMER	EWS79_RS04280	N-acetylglucosamine-6-phosphate deacetylase	
EWS79_RS05750-MONOMER	EWS79_RS05750	N-acetylmuramic acid 6-phosphate etherase	
EWS79_RS00835-MONOMER	EWS79_RS00835	N-acetylmuramoyl-L-alanine amidase	
EWS79_RS04710-MONOMER	EWS79_RS04710	N-acetyltransferase	
EWS79_RS00895-MONOMER	EWS79_RS00895	N-acetyltransferase	
EWS79_RS06080-MONOMER	EWS79_RS06080	N-carbamoylputrescine amidase	
EWS79_RS05275-MONOMER	EWS79_RS05275	N-formylglutamate amidohydrolase	CCI-CYTOSOL-GN
EWS79_RS06195-MONOMER	EWS79_RS06195	N-formylglutamate amidohydrolase	
EWS79_RS05235-MONOMER	EWS79_RS05235	N-succinylarginine dihydrolase	CCI-CYTOSOL-GN
EWS79_RS00490-MONOMER	EWS79_RS00490	Na+/H+ antiporter NhaA	
EWS79_RS05930-MONOMER	EWS79_RS05930	NAD(+) kinase	CCI-CYTOSOL-GN
EWS79_RS08610-MONOMER	EWS79_RS08610	NAD(P)-dependent glycerol-3-phosphate dehydrogenase	
EWS79_RS06100-MONOMER	EWS79_RS06100	NAD(P)-dependent oxidoreductase	
EWS79_RS00880-MONOMER	EWS79_RS00880	NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GN
EWS79_RS04975-MONOMER	EWS79_RS04975	NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GN
EWS79_RS04955-MONOMER	EWS79_RS04955	NAD(P)/FAD-dependent oxidoreductase	CCI-PM-BAC-NEG-GN
EWS79_RS07940-MONOMER	EWS79_RS07940	NAD(P)H quinone oxidoreductase	
EWS79_RS05945-MONOMER	EWS79_RS05945	NAD(P)H:quinone oxidoreductase	
EWS79_RS03980-MONOMER	EWS79_RS03980	NAD+ synthase	
EWS79_RS03845-MONOMER	EWS79_RS03845	NAD-dependent epimerase/dehydratase family protein	
EWS79_RS04185-MONOMER	EWS79_RS04185	NAD-dependent epimerase/dehydratase family protein	
EWS79_RS08885-MONOMER	EWS79_RS08885	NAD-dependent malic enzyme	
EWS79_RS07855-MONOMER	EWS79_RS07855	NAD-dependent succinate-semialdehyde dehydrogenase	
EWS79_RS02380-MONOMER	EWS79_RS02380	NADP-dependent isocitrate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS01385-MONOMER	EWS79_RS01385	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	CCI-CYTOSOL-GN
EWS79_RS00045-MONOMER	EWS79_RS00045	NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	
EWS79_RS04315-MONOMER	EWS79_RS04315	NCS2 family permease	
EWS79_RS03960-MONOMER	EWS79_RS03960	NERD domain-containing protein	
EWS79_RS06500-MONOMER	EWS79_RS06500	nicotinamide riboside transporter PnuC	
EWS79_RS06955-MONOMER	EWS79_RS06955	nicotinamide riboside transporter PnuC	
EWS79_RS07435-MONOMER	EWS79_RS07435	nicotinate-nucleotide adenylyltransferase	
EWS79_RS08130-MONOMER	EWS79_RS08130	nif-specific transcriptional activator NifA	
EWS79_RS08215-MONOMER	EWS79_RS08215	NifU family protein	
EWS79_RS06295-MONOMER	EWS79_RS06295	NifU family protein	
EWS79_RS08195-MONOMER	EWS79_RS08195	NifX-associated nitrogen fixation protein	
EWS79_RS02530-MONOMER	EWS79_RS02530	nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein	
EWS79_RS08205-MONOMER	EWS79_RS08205	nitrogen fixation protein NifQ	
EWS79_RS08190-MONOMER	EWS79_RS08190	nitrogen fixation protein NifX	
EWS79_RS08145-MONOMER	EWS79_RS08145	nitrogen fixation protein NifZ	CCI-CYTOSOL-GN
EWS79_RS00170-MONOMER	EWS79_RS00170	nitrogen regulatory protein	CCI-CYTOSOL-GN
EWS79_RS08135-MONOMER	EWS79_RS08135	nitrogenase cofactor biosynthesis protein NifB	
EWS79_RS08165-MONOMER	EWS79_RS08165	nitrogenase iron protein	CCI-CYTOSOL-GN
EWS79_RS08180-MONOMER	EWS79_RS08180	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	
EWS79_RS08185-MONOMER	EWS79_RS08185	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	
EWS79_RS08170-MONOMER	EWS79_RS08170	nitrogenase molybdenum-iron protein alpha chain	CCI-CYTOSOL-GN
EWS79_RS08175-MONOMER	EWS79_RS08175	nitrogenase molybdenum-iron protein subunit beta	
EWS79_RS08230-MONOMER	EWS79_RS08230	nitrogenase-stabilizing/protective protein NifW	
EWS79_RS08365-MONOMER	EWS79_RS08365	nitronate monooxygenase	
EWS79_RS04070-MONOMER	EWS79_RS04070	nitronate monooxygenase	CCI-CYTOSOL-GN
EWS79_RS02995-MONOMER	EWS79_RS02995	nitroreductase	
EWS79_RS06805-MONOMER	EWS79_RS06805	nodulation protein	
EWS79_RS00730-MONOMER	EWS79_RS00730	nuclear transport factor 2 family protein	
EWS79_RS03295-MONOMER	EWS79_RS03295	nuclear transport factor 2 family protein	
EWS79_RS01260-MONOMER	EWS79_RS01260	nucleoside deaminase	CCI-CYTOSOL-GN
EWS79_RS04305-MONOMER	EWS79_RS04305	nucleoside transporter	
EWS79_RS05875-MONOMER	EWS79_RS05875	nucleoside triphosphate hydrolase	
EWS79_RS04885-MONOMER	EWS79_RS04885	nucleoside triphosphate pyrophosphohydrolase	
EWS79_RS00080-MONOMER	EWS79_RS00080	nucleotide exchange factor GrpE	CCI-CYTOSOL-GN
EWS79_RS04910-MONOMER	EWS79_RS04910	nucleotidyltransferase family protein	CCI-CYTOSOL-GN
EWS79_RS04645-MONOMER	EWS79_RS04645	NUDIX hydrolase	
