complex_id,name,genes,mod,replace
CPLX_PTRCabcpp-1,Putrescine transport via ABC system (periplasm),222.273.peg.4727() AND 222.273.peg.4728() AND 222.273.peg.4730() AND 222.273.peg.4729(),,
CPLX_PTRCabcpp-2,Putrescine transport via ABC system (periplasm),222.273.peg.4727() AND 222.273.peg.3257() AND 222.273.peg.4730() AND 222.273.peg.4729(),,
CPLX_TUNGSabcpp-0,Tungstate transport via ABC system (periplasm),222.273.peg.4634() AND 222.273.peg.4633() AND 222.273.peg.4632(),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),222.273.peg.2926() AND 222.273.peg.2927() AND 222.273.peg.1589(),,
CPLX_MOBDabcpp-1,Molybdate transport via ABC system (periplasm),222.273.peg.2928() AND 222.273.peg.1586() AND 222.273.peg.2926() AND 222.273.peg.2927(),,
CPLX_NI2uabcpp-0,"Nickel transport via ABC system (uptake, periplasm)",222.273.peg.1066() AND 222.273.peg.2182() AND 222.273.peg.4193() AND 222.273.peg.4077() AND 222.273.peg.1453(),,
CPLX_FECRMtonex-0,Ferrichrome transport via ton system (extracellular),222.273.peg.1893() AND 222.273.peg.845() AND 222.273.peg.1504(),,
CPLX_ADOCBLabcpp-0,Adenosylcobalamin transport via ABC system (periplasm),222.273.peg.5033() AND 222.273.peg.5032(),,
CPLX_CTBTabcpp-0,Crotonobetaine transport via ABC system (periplasm),222.273.peg.4676() AND 222.273.peg.4674(),,
CPLX_CTBTabcpp-1,Crotonobetaine transport via ABC system (periplasm),222.273.peg.1365() AND 222.273.peg.4674(),,
CPLX_RIBabcpp-0,D-ribose transport via ABC system (periplasm),222.273.peg.5511() AND 222.273.peg.4667(),,
CPLX_RIBabcpp-1,D-ribose transport via ABC system (periplasm),222.273.peg.4668() AND 222.273.peg.4667(),,
CPLX_GLNabcpp-0,L-glutamine transport via ABC system (periplasm),222.273.peg.3228(2) AND 222.273.peg.3230(1) AND 222.273.peg.3229(2),,
CPLX_HISabcpp-0,L-histidine transport via ABC system (periplasm),222.273.peg.3943() AND 222.273.peg.5057(),,
CPLX_14GLUCANabcpp-0,"1,4-alpha-D-glucan transport via ABC system (periplasm)",222.273.peg.3157() AND 222.273.peg.3155(),,
CPLX_GLYC3Pabcpp-0,Sn-Glycerol 3-phosphate transport via ABC system (periplasm),222.273.peg.3155(1) AND 222.273.peg.3154(1) AND 222.273.peg.3156(1) AND 222.273.peg.3157(2),,
CPLX_SPMDabcpp-0,Spermidine transport via ABC system (periplasm),222.273.peg.1921() AND 222.273.peg.1924() AND 222.273.peg.4728() AND 222.273.peg.1923(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,222.273.peg.215(1) AND 222.273.peg.217(1),,
CPLX_PDH-0,Pyruvate dehydrogenase,222.273.peg.1491() AND 222.273.peg.2556() AND 222.273.peg.2557() AND 222.273.peg.5586(),,
CPLX_PDH-1,Pyruvate dehydrogenase,222.273.peg.2324() AND 222.273.peg.2556() AND 222.273.peg.2557() AND 222.273.peg.5586(),,
CPLX_PDH-2,Pyruvate dehydrogenase,222.273.peg.2325() AND 222.273.peg.2556() AND 222.273.peg.2557() AND 222.273.peg.5586(),,
CPLX_PDH-3,Pyruvate dehydrogenase,222.273.peg.2554() AND 222.273.peg.2556() AND 222.273.peg.2557() AND 222.273.peg.5586(),,
CPLX_PDH-4,Pyruvate dehydrogenase,222.273.peg.2555() AND 222.273.peg.2556() AND 222.273.peg.2557() AND 222.273.peg.5586(),,
CPLX_CELBpts-0,Cellobiose transport via PEPPyr PTS,222.273.peg.2198() AND 222.273.peg.5120(),,
CPLX_SUCOAS-0,Succinyl-CoA synthetase (ADP-forming),222.273.peg.1710(2) AND 222.273.peg.1711(2),,
CPLX_AACPS9-0,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),222.273.peg.1399() AND 222.273.peg.621(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),222.273.peg.2365() AND 222.273.peg.2531() AND 222.273.peg.3027() AND 222.273.peg.1451(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),222.273.peg.2369() AND 222.273.peg.1452() AND 222.273.peg.1914() AND 222.273.peg.2532(),,
CPLX_G3PEabcpp-0,Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),222.273.peg.145() AND 222.273.peg.146() AND 222.273.peg.3156() AND 222.273.peg.3155(),,
CPLX_G3PEabcpp-1,Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),222.273.peg.145() AND 222.273.peg.3157() AND 222.273.peg.3156() AND 222.273.peg.3155(),,
