Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NCTC13359_06375-MONOMER	Inner_Membrane	NCTC13359_06375()	Inner_Membrane	r
CPLX_GLNabcpp-0	Inner_Membrane	NCTC13359_06375()	Inner_Membrane	r
NCTC13359_01375-MONOMER	Inner_Membrane	NCTC13359_01375()	Inner_Membrane	r
NCTC13359_05542-MONOMER	Outer_Membrane	NCTC13359_05542()	Outer_Membrane	pla
NCTC13359_01935-MONOMER	Inner_Membrane	NCTC13359_01935()	Inner_Membrane	r
NCTC13359_00501-MONOMER	Inner_Membrane	NCTC13359_00501()	Inner_Membrane	r
NCTC13359_00810-MONOMER	Outer_Membrane	NCTC13359_00810()	Outer_Membrane	pla
CPLX_CMtpp-0	Outer_Membrane	NCTC13359_00810()	Outer_Membrane	pla
NCTC13359_03260-MONOMER	Outer_Membrane	NCTC13359_03260()	Inner_Membrane	r
CPLX_FE2t4pp-0	Outer_Membrane	NCTC13359_03260()	Inner_Membrane	r
CPLX_FE2t4pp-1	Outer_Membrane	NCTC13359_03260()	Inner_Membrane	r
NCTC13359_04147-MONOMER	Inner_Membrane	NCTC13359_04147()	Inner_Membrane	r
NCTC13359_02618-MONOMER	Inner_Membrane	NCTC13359_02618()	Inner_Membrane	r
NCTC13359_04353-MONOMER	Inner_Membrane	NCTC13359_04353()	Inner_Membrane	r
CPLX_Kabcpp-0	Inner_Membrane	NCTC13359_04353()	Inner_Membrane	r
NCTC13359_04352-MONOMER	Inner_Membrane	NCTC13359_04352()	Inner_Membrane	r
CPLX_Kabcpp-0	Inner_Membrane	NCTC13359_04352()	Inner_Membrane	r
NCTC13359_02624-MONOMER	Inner_Membrane	NCTC13359_02624()	Periplasm	s
CPLX_HISabcpp-0	Inner_Membrane	NCTC13359_02624()	Periplasm	s
NCTC13359_03211-MONOMER	Inner_Membrane	NCTC13359_03211()	Inner_Membrane	r
NCTC13359_00155-MONOMER	Inner_Membrane	NCTC13359_00155()	Inner_Membrane	r
CPLX_PIuabcpp-0	Inner_Membrane	NCTC13359_00155()	Inner_Membrane	r
NCTC13359_06345-MONOMER	Inner_Membrane	NCTC13359_06345()	Inner_Membrane	s
