complex_id,name,genes,mod,replace
BSU15920-MONOMER,,,pan4p(1) AND 3ooctd(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hcvac11e(1),
BSU15920-MONOMER,,,pan4p(1) AND ocdca(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hocta(1),
BSU03460-MONOMER,,,mg2(1),
BSU09410-MONOMER,,,zn2(1) AND mg2(1),
BSU29790-MONOMER,,,mg2(1),
BSU37090-MONOMER,,,mn2(1),
BSU37060-MONOMER,,,mg2(1),
BSU27610-MONOMER,,,mg2(1),
BSU27610-MONOMER,,,mn2(1),
BSU29880-MONOMER,,,mn2(1),
BSU29880-MONOMER,,,mg2(1),
BSU03150-MONOMER,,,mg2(1),
BSU03150-MONOMER,,,mn2(1),
BSU03150-MONOMER,,,cobalt2(1),
BSU03150-MONOMER,,,fe2(1),
BSU03150-MONOMER,,,ca2(1),
BSU03150-MONOMER,,,k(1),
BSU01380-MONOMER,,,fe2(2),
BSU11010-MONOMER,,,zn2(1) AND cbl1(1),
BSU15750-MONOMER,,,4fe4s(1),
BSU38370-MONOMER,,,ni2(1),
BSU40420-MONOMER,,,mg2(1),
BSU12080-MONOMER,,,mg2(1),
BSU12080-MONOMER,,,ca2(1),
BSU29220-MONOMER,,,mn2(1),
BSU29220-MONOMER,,,mg2(1),
CPLX_AKGDH-0,,,mg2(1) AND lipoyl(1),
